timestamp,fairBasis
2020-12-07 10:18:00.501242920+00:00,0.88
2020-12-07 10:19:00.489499808+00:00,0.87
2020-12-07 10:20:00.500094622+00:00,0.86
2020-12-07 10:21:00.498483754+00:00,0.85
2020-12-07 10:22:00.506649108+00:00,0.84
2020-12-07 10:23:00.511247619+00:00,0.83
2020-12-07 10:23:50.503461660+00:00,0.84
2020-12-07 10:24:00.491669598+00:00,0.83
2020-12-07 10:25:00.499273979+00:00,0.82
2020-12-07 10:26:00.490317137+00:00,0.81
2020-12-07 10:27:00.495538950+00:00,0.8
2020-12-07 10:28:00.488084057+00:00,0.79
2020-12-07 10:29:00.496547550+00:00,0.78
2020-12-07 10:31:00.489968577+00:00,0.77
2020-12-07 10:32:00.495604718+00:00,0.76
2020-12-07 10:33:00.512500935+00:00,0.75
2020-12-07 10:34:00.482186187+00:00,0.74
2020-12-07 10:35:00.531203337+00:00,0.73
2020-12-07 10:36:00.480338469+00:00,0.72
2020-12-07 10:37:00.519834950+00:00,0.71
2020-12-07 10:39:00.502372184+00:00,0.7
2020-12-07 10:40:00.485321116+00:00,0.69
2020-12-07 10:41:00.489304540+00:00,0.68
2020-12-07 10:42:00.492233408+00:00,0.67
2020-12-07 10:43:00.498622117+00:00,0.66
2020-12-07 10:44:00.494093083+00:00,0.65
2020-12-07 10:46:00.498619210+00:00,0.64
2020-12-07 10:47:00.490209957+00:00,0.63
2020-12-07 10:48:00.508275690+00:00,0.62
2020-12-07 10:49:00.469789446+00:00,0.61
2020-12-07 10:50:00.496492875+00:00,0.6
2020-12-07 10:51:00.518472658+00:00,0.59
2020-12-07 10:52:00.484773216+00:00,0.58
2020-12-07 10:54:00.479924388+00:00,0.57
2020-12-07 10:55:00.494286656+00:00,0.56
2020-12-07 10:56:00.483031983+00:00,0.55
2020-12-07 10:57:00.503451428+00:00,0.54
2020-12-07 10:58:00.500297410+00:00,0.53
